project_role_id,project_id,personnel_id,role_code,key_personnel,funding_award_id,source_system
PROJECT-V210557:V00828034:PI,PROJECT-V210557,V00828034,PI,Y,,Banner Grant Listing Report
PROJECT-V210578:V00420154:PI,PROJECT-V210578,V00420154,PI,Y,,Banner Grant Listing Report
PROJECT-V210579:V00710611:PI,PROJECT-V210579,V00710611,PI,Y,,Banner Grant Listing Report
PROJECT-V210582:V00228283:PI,PROJECT-V210582,V00228283,PI,Y,,Banner Grant Listing Report
PROJECT-V210583:V00630896:PI,PROJECT-V210583,V00630896,PI,Y,,Banner Grant Listing Report
PROJECT-V210586:V00690635:PI,PROJECT-V210586,V00690635,PI,Y,,Banner Grant Listing Report
PROJECT-V210588:V00536648:PI,PROJECT-V210588,V00536648,PI,Y,,Banner Grant Listing Report
PROJECT-V210589:V00596441:PI,PROJECT-V210589,V00596441,PI,Y,,Banner Grant Listing Report
PROJECT-V210590:V00006579:PI,PROJECT-V210590,V00006579,PI,Y,,Banner Grant Listing Report
PROJECT-V210591:V00711123:PI,PROJECT-V210591,V00711123,PI,Y,,Banner Grant Listing Report
PROJECT-V210602:V00667885:PI,PROJECT-V210602,V00667885,PI,Y,,Banner Grant Listing Report
PROJECT-V210607:V00096425:PI,PROJECT-V210607,V00096425,PI,Y,,Banner Grant Listing Report
PROJECT-V210617:V00402447:PI,PROJECT-V210617,V00402447,PI,Y,,Banner Grant Listing Report
PROJECT-V210620:V00510140:PI,PROJECT-V210620,V00510140,PI,Y,,Banner Grant Listing Report
PROJECT-V210621:V00632789:PI,PROJECT-V210621,V00632789,PI,Y,,Banner Grant Listing Report
PROJECT-V210622:V00549574:PI,PROJECT-V210622,V00549574,PI,Y,,Banner Grant Listing Report
PROJECT-V210624:V00847929:PI,PROJECT-V210624,V00847929,PI,Y,,Banner Grant Listing Report
PROJECT-V210625:V00423847:PI,PROJECT-V210625,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210626:V00423847:PI,PROJECT-V210626,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210627:V00423847:PI,PROJECT-V210627,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210628:V00423847:PI,PROJECT-V210628,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210631:V00423847:PI,PROJECT-V210631,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210632:V00484890:PI,PROJECT-V210632,V00484890,PI,Y,,Banner Grant Listing Report
PROJECT-V210634:V00470066:PI,PROJECT-V210634,V00470066,PI,Y,,Banner Grant Listing Report
PROJECT-V210635:V00006377:PI,PROJECT-V210635,V00006377,PI,Y,,Banner Grant Listing Report
PROJECT-V210643:V00423847:PI,PROJECT-V210643,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210648:V00812787:PI,PROJECT-V210648,V00812787,PI,Y,,Banner Grant Listing Report
PROJECT-V210653:V00423847:PI,PROJECT-V210653,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210661:V00550017:PI,PROJECT-V210661,V00550017,PI,Y,,Banner Grant Listing Report
PROJECT-V210663:V00423847:PI,PROJECT-V210663,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210666:V00565242:PI,PROJECT-V210666,V00565242,PI,Y,,Banner Grant Listing Report
PROJECT-V210667:V00404663:PI,PROJECT-V210667,V00404663,PI,Y,,Banner Grant Listing Report
PROJECT-V210675:V01031013:PI,PROJECT-V210675,V01031013,PI,Y,,Banner Grant Listing Report
PROJECT-V210676:V01219761:PI,PROJECT-V210676,V01219761,PI,Y,,Banner Grant Listing Report
PROJECT-V210678:V00423847:PI,PROJECT-V210678,V00423847,PI,Y,,Banner Grant Listing Report
